lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.8,0,200,0.001,pre_decay,0.7177625671029091,28.22374328970909,0.0,0.0,False,2.113287763630486,2.3960485707764847,-0.2827608071459986,2.132129606178931,2.408718868709497,-0.27658926253056615,-0.006171544615432456
0.8,0,400,0.001,pre_decay,0.6980416737496853,30.19583262503147,1.97208933532238,24.73493218421936,False,2.113287763630486,2.3817009491005785,-0.2684131854700924,2.132129606178931,2.3859570809141557,-0.2538274747352247,-0.014585710734867696
0.8,0,600,0.001,pre_decay,0.7333592344075441,26.664076559245586,-3.531756065785885,34.61216688156128,False,2.113287763630486,2.351796627125742,-0.23850886349525569,2.132129606178931,2.356584555912157,-0.224454949733226,-0.01405391376202969
0.8,0,800,0.001,pre_decay,0.7072187438607216,29.27812561392784,2.614049054682255,34.50056314468384,False,2.113287763630486,2.357730027434754,-0.24444226380426803,2.132129606178931,2.3576092345134865,-0.22547962833455548,-0.018962635469712552
0.8,0,1000,0.001,pre_decay,0.6939697545021772,30.603024549782276,1.324898935854435,20.11021375656128,False,2.113287763630486,2.3859701416926824,-0.2726823780621963,2.132129606178931,2.388636517995367,-0.25650691181643603,-0.016175466245760273
0.8,0,1200,0.001,pre_decay,0.6761736497282982,32.38263502717018,1.7796104773879051,22.48883843421936,False,2.113287763630486,2.38402118703175,-0.2707334234012637,2.132129606178931,2.3925790421955444,-0.2604494360166134,-0.010283987384650306
0.8,0,1400,0.001,pre_decay,0.6810128707438707,31.898712925612926,-0.4839221015572548,14.760047197341919,False,2.113287763630486,2.367803644534576,-0.2545158809040897,2.132129606178931,2.372625723712747,-0.24049611753381583,-0.014019763370273886
0.8,0,1600,0.001,pre_decay,0.7229745369404554,27.702546305954456,-4.19616661965847,29.42940592765808,False,2.113287763630486,2.320201248547447,-0.20691348491696093,2.132129606178931,2.3206781663690372,-0.18854856019010624,-0.018364924726854692
0.8,0,1800,0.001,pre_decay,0.6717791222035885,32.82208777964115,5.119541473686695,30.18275499343872,False,2.113287763630486,2.389993900332337,-0.27670613670185107,2.132129606178931,2.3930566614157067,-0.26092705523677573,-0.01577908146507534
0.8,0,2000,0.001,pre_decay,0.70094083994627,29.905916005373,-2.9161717742681503,24.57450032234192,False,2.113287763630486,2.3439384815385287,-0.2306507179080426,2.132129606178931,2.3467323857022873,-0.21460277952335627,-0.016047938384686322
0.8,0,2200,0.001,pre_decay,0.6531394124031067,34.68605875968933,4.78014275431633,25.57896375656128,False,2.113287763630486,2.402271390025617,-0.28898362639513087,2.132129606178931,2.4054985351187126,-0.2733689289397816,-0.015614697455349269
0.8,0,2400,0.001,pre_decay,0.6570652853697538,34.293471463024616,-0.3925872966647148,18.58956217765808,False,2.113287763630486,2.4013549760998805,-0.2880672124693944,2.132129606178931,2.40425496514424,-0.272125358965309,-0.01594185350408539
0.8,0,2600,0.001,pre_decay,0.6742488648742437,32.575113512575626,-1.7183579504489899,22.62834906578064,False,2.113287763630486,2.362615576734371,-0.24932781310388474,2.132129606178931,2.373107271277048,-0.24097766509811702,-0.008350148005767721
0.8,0,2800,0.001,pre_decay,0.6398926107212901,36.01073892787099,3.4356254152953625,32.24748969078064,False,2.113287763630486,5.079117777214095,-2.965830013583609,2.132129606178931,5.150448074250028,-3.0183184680710973,0.0524884544874884
0.8,0,3000,0.001,pre_decay,0.6775273233652115,32.24726766347885,-3.7634712643921375,31.005859375,False,2.113287763630486,2.3585863868251637,-0.24529862319467766,2.132129606178931,2.35669708103177,-0.2245674748528388,-0.020731148341838868
0.8,0,3200,0.001,pre_decay,0.6665933076292276,33.340669237077236,1.0934015735983849,17.3897922039032,False,2.113287763630486,2.376880034300973,-0.26359227067048696,2.132129606178931,2.3740700498938874,-0.24194044371495638,-0.021651826955530584
0.8,0,3400,0.001,pre_decay,0.6588679989799857,34.11320010200143,0.7725308649241924,21.07979655265808,False,2.113287763630486,5.984597359069069,-3.8713095954385826,2.132129606178931,6.133260714044313,-4.001131107865382,0.12982151242679985
0.8,0,3600,0.001,pre_decay,0.6863338202238083,31.36661797761917,-2.7465821243822575,25.47432780265808,False,2.113287763630486,2.3418322830987566,-0.22854451946827048,2.132129606178931,2.343470045570307,-0.21134043939137603,-0.017204080076894446
0.8,0,3800,0.001,pre_decay,0.6683262698352337,33.16737301647663,1.80075503885746,25.08370280265808,False,2.113287763630486,2.3739131131709397,-0.2606253495404536,2.132129606178931,2.3765734319470018,-0.24444382576807078,-0.0161815237723828
0.8,0,4000,0.001,pre_decay,0.6744058141484857,32.559418585151434,-0.6079544313251972,18.44308376312256,False,2.113287763630486,2.361888497883674,-0.24860073425318774,2.132129606178931,2.360276426724709,-0.22814682054577817,-0.020453913707409566
0.8,0,4200,0.001,pre_decay,0.6589377531781793,34.106224682182074,1.5468060970306396,18.6104953289032,False,2.113287763630486,2.378444174661234,-0.26515641103074783,2.132129606178931,2.3767307549825314,-0.2446011488036004,-0.02055526222714743
0.8,0,4400,0.001,pre_decay,0.6971392259001732,30.28607740998268,-3.8201472721993923,23.07477593421936,False,2.113287763630486,2.3392340504824394,-0.22594628685195328,2.132129606178931,2.3380402095480113,-0.2059106033690803,-0.02003568348287299
0.8,0,4600,0.001,pre_decay,0.6875523459166288,31.244765408337116,0.958687998354435,17.94085204601288,False,2.113287763630486,2.3424739406004855,-0.22918617696999943,2.132129606178931,2.339007439786247,-0.20687783360731604,-0.02230834336268339
0.8,0,4800,0.001,pre_decay,0.6165989758446813,38.340102415531874,7.0953370071947575,36.09793782234192,False,2.113287763630486,2.450322214881264,-0.3370344512507777,2.132129606178931,2.4477999150656458,-0.31567030888671477,-0.02136414236406292
0.8,0,5000,0.001,pre_decay,0.6658587018027902,33.41412981972098,-4.92597259581089,31.96847438812256,False,2.113287763630486,2.368360538926515,-0.2550727752960289,2.132129606178931,2.362015820920018,-0.22988621474108717,-0.025186560554941728
0.8,0,5200,0.001,pre_decay,0.6601541014388204,33.984589856117964,0.5704600363969803,25.146484375,False,2.113287763630486,2.3695403264735675,-0.2562525628430814,2.132129606178931,2.3655172718551416,-0.2333876656762106,-0.02286489716687079
0.8,0,5400,0.001,pre_decay,0.653113255277276,34.688674472272396,0.7040846161544323,26.583433151245117,False,2.113287763630486,2.3831352593267,-0.2698474956962138,2.132129606178931,2.394163640185035,-0.26203403400610403,-0.007813461690109769
